company_name,normalized_company_name,source_status,source_notes,source_section,source_row,include_in_research,relevance_review_status,category_guess,priority_level,career_page_url,greenhouse_url,lever_url,workday_url,ashby_url,job_board_type,preferred_locations,role_keywords,exclude_keywords,notes_for_fable
DRW,drw,CHECK BACK,,D,15,yes,validate,needs validation,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Laurion Capital Management,laurion capital management,,,L,15,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Seamless Capital,seamless capital,,,S,15,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
ACT Commodities,act commodities,NO POSITIONS,,A,16,yes,validate,energy or commodities,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Deutsche Bank,deutsche bank,CHECK BACK,,D,16,yes,validate,bank or broker dealer,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Lazard,lazard,,,L,16,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
SESCO,sesco,,,S,16,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
ADIA,adia,NO POSITIONS,,A,17,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Duality Group,duality group,,,D,17,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Linden Shore,linden shore,,,L,17,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Seven Eight Capital,seven eight capital,,,S,17,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
