company_name,normalized_company_name,is_relevant,relevance_reason,company_category,official_careers_url,job_board_type,job_board_query_url,greenhouse_slug,lever_slug,ashby_slug,workday_cxs_url,supported_locations,source_confidence,scrape_method,scrape_frequency,last_validated_at,validation_notes,priority_level
Agora Data,agora data,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
E Fund Management,e fund,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Lloyd's Bank,lloyds bank,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Shanghai Tifang Private Equity Fund Management,shanghai tifang private equity fund,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Akuna Capital,akuna,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/akunacapital/jobs,akunacapital,,,,,verified,api,daily,2026-07-05,,high
Eagle Seven,eagle seven,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
LMR Partners,lmr,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/lmr/jobs,lmr,,,,,verified,api,daily,2026-07-05,,medium
Shanghai Tongyi Investment,shanghai tongyi,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Algo Capital Group,algo,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Eastspring Investments,eastspring,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Lord Abbott,lord abbott,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Shanghai Yanfu Investments,shanghai yanfu,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
AlgoQuant,algoquant,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/algoquant/jobs,algoquant,,,,,verified,api,daily,2026-07-05,,high
Ebullient Securities,ebullient securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Louis Dreyfus Company,louis dreyfus,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Shenwan Hongyuan Securities,shenwan hongyuan securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Algorithma,algorithma,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Eclipse Trading Technologies,eclipse trading technologies,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/eclipse/jobs,eclipse,,,,,verified,api,daily,2026-07-05,,high
Lynx Asset Management,lynx,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Shenzhen Quantitative Hedge Investment Management,shenzhen quantitative hedge,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Algorithmic Trading Group,algorithmic trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
EDF Trading,edf trading,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
M&G Investments,m and g,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Shenzhen Ridou Investment Management,shenzhen ridou,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
All Options,all options,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Edge Focus Partners,edge focus,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Macquarie Group,macquarie,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Sunguard Risk Consultant,sunguard risk consultant,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Alliance Bernstein,alliance bernstein,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Edgehog Trading,edgehog trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/edgehog/jobs,edgehog,,,,,verified,api,daily,2026-07-05,,high
Maize Capital,maize,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
SIG,sig,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Allianz Global Investors,allianz global investors,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Edgestream Partners,edgestream,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/edgestream/jobs,edgestream,,,,,verified,api,daily,2026-07-05,,medium
Man Group,man,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Simplex Trading,simplex trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/simplextrading/jobs,simplextrading,,,,,verified,api,daily,2026-07-05,,high
Allied Millennial Partners,allied millennial,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/allied/jobs,allied,,,,,verified,api,daily,2026-07-05,,medium
Eisler Capital,eisler,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Man Numeric,man numeric,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Smarkets,smarkets,yes,seed category 'prop trading or market making',prop trading or market making,,ashby,https://api.ashbyhq.com/posting-api/job-board/smarkets,,,smarkets,,,verified,api,daily,2026-07-05,,high
Allston Trading,allston trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Elequin Capital,elequin,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Mana Partners,mana,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Societe Generale,societe generale,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Alpha Lab Capital,alpha lab,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,ashby,https://api.ashbyhq.com/posting-api/job-board/alpha,,,alpha,,,verified,api,daily,2026-07-05,,high
Elk Capital Markets,elk capital markets,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Maniyar Capital,maniyar,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Sona Capital,sona,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,ashby,https://api.ashbyhq.com/posting-api/job-board/sona,,,sona,,,verified,api,daily,2026-07-05,,high
Alphabit Trading,alphabit trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Ellington Management Group,ellington,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Marathon Trading,marathon trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Spark Investment Management,spark,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
AlphaGrep,alphagrep,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Element,element,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Market Wizards,market wizards,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Spin Hill Capital,spin hill,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/spin/jobs,spin,,,,,verified,api,daily,2026-07-05,,high
Alphanonce,alphanonce,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Eltican,eltican,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
MarketAxess,marketaxess,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Spruce Grove Trading,spruce grove trading,yes,seed category 'prop trading or market making',prop trading or market making,,ashby,https://api.ashbyhq.com/posting-api/job-board/spruce,,,spruce,,,verified,api,daily,2026-07-05,,high
AlphaSimplex,alphasimplex,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Emergent Trading,emergent trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Marquette Partners,marquette,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Squarepoint Capital,squarepoint,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Alphataraxia Management,alphataraxia,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/alphataraxia/jobs,alphataraxia,,,,,verified,api,daily,2026-07-05,,medium
Engineers Gate,engineers gate,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Marshall Wace,marshall wace,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
SSW Trading,ssw trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Alyeska Investment Group,alyeska,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Enigma Securities,enigma securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Mathrix,mathrix,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Standard Chartered,standard chartered,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
American Century Investments,american century,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Epoch Capital,epoch,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Maven Securities,maven securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,ashby,https://api.ashbyhq.com/posting-api/job-board/maven,,,maven,,,verified,api,daily,2026-07-05,,high
State Street,state street,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Amundi,amundi,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Eqvilent,eqvilent,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Maverick Derivatives,maverick derivatives,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/maverickderivatives/jobs,maverickderivatives,,,,,verified,api,daily,2026-07-05,,high
Stevens Capital Management,stevens,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Ansatz Capital,ansatz,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Eschaton Trading,eschaton trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
McKay Brothers,mckay brothers,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
StoneX Group,stonex,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,high
Anchorage,anchorage,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Essence Securities,essence securities,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Mercuria Energy Group,mercuria energy,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Stout,stout,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
APS Asset Management,aps,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Evergreen Statistical Trading,evergreen statistical trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/evergreenstatisticaltrading/jobs,evergreenstatisticaltrading,,,,,verified,api,daily,2026-07-05,,high
